ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
58.401446089780684,22.984951675514296,9.364784008554782,-17.664675087561385,-170.24152555714122,17.16698,3.2107544
58.256848955762266,22.97990043814057,7.420786200411975,18.67910400073735,-45.22834943525854,16.564484,3.056285
58.245362462935866,22.992379180987392,6.082085913838648,6.714856132752154,-44.93027550120406,16.979118,2.8468266
58.29240738957876,23.052790825962784,7.339353946453763,19.736552774957616,-46.53611248805149,15.395707,2.5858727
58.16154681704111,23.063566491550986,6.124343959573825,81.7545326457994,-21.55407350184864,14.499158,2.0086565
58.34026700004381,23.065590111936345,6.022654486369264,1.7271198311510823,-0.6168224762643306,20.706553,1.5962219
58.37929779915594,23.09424285540534,6.916615843463618,10.56947871725746,-25.266232809917597,17.77529,3.1230202
58.504722163146866,23.327914274720143,6.977480091655439,18.083135470389173,-42.80795268094474,18.158997,3.6113834
58.48872630466153,23.34510508446438,7.415902960434853,20.241861013349848,-44.2704168471072,13.549343,1.8428898
58.554286648334305,23.347269706275018,7.593239732644184,19.433131920141896,-46.78892199301689,15.459801,2.6172266
58.58850805191478,23.396852238787165,6.671935339327122,15.911317482984572,-18.204149715635168,15.86803,2.7075958
58.574207645469684,23.407281911921206,8.143083057846997,-35.45273496759612,-13.734949694348218,16.651728,2.8027582
58.47974126480307,23.393206322023087,8.967224762505557,19.432607070033317,-47.41773199591825,19.658195,3.422432
58.4712032166588,23.404016622264972,7.441760333394424,31.253376837569476,-78.50197699771614,16.210484,2.8580608
58.62878229873493,23.437445356504842,6.170879533502592,43.55826864250093,4.833689816495163,16.342115,2.6044292
58.629641149673404,23.52874684934143,7.0712571423728,66.84623836055107,-52.84484104099187,12.084931,1.1966066
58.10331455429853,23.135799549887544,6.407144628144037,-22.999385099416656,-42.148309327918085,16.33304,2.524828
57.90855896594161,23.182920241945293,7.656666795074176,23.660945083527437,-52.53433562750638,12.847497,1.6904612
57.997026412346834,23.288130785025235,7.4576480056089105,16.913888014152022,-43.98378222984808,19.87459,2.940733
58.318577934063626,23.349339904045625,6.865076901566834,17.188845023349536,-41.70022565167011,17.307737,3.1656342
58.125029786744214,23.297472823716625,7.073632353409959,13.906660534160801,-14.655362505608032,13.399497,1.6478004
57.83124732910963,23.16358608120615,7.282151258469367,18.816939814241895,-43.442427037819215,16.071117,2.8686714
57.81600521946067,23.282072324477088,7.39121408595741,20.266120356445313,-45.198913858633816,14.110739,2.0543022
57.95098226052053,23.285823222320644,8.24774906709084,223.34853634352362,-90.3828009383956,14.834055,2.2979355
57.96320232011635,23.294606604742206,7.3552931632241805,18.71857105545529,-46.02887604433456,15.41097,2.6311836
57.91290560165287,23.367730001000808,8.117417323793795,21.381829359141534,-48.72743631326327,17.106327,3.1555882
57.779677513231455,23.349183178047287,6.69801332118288,17.208624900521556,-41.877844853353125,16.782677,2.9567537
57.71444143460519,23.328868779468966,7.333804587650971,18.888363146076816,-46.332224202292636,12.194483,1.2622709
57.679511495208054,23.332013611472313,7.273865469453809,19.147023737008404,-45.51685953734932,18.279741,3.3798409
57.869720345938745,23.3663946435261,9.346261293519358,46.49169896743961,-52.495416375616315,14.164016,2.2034826
57.989007972376015,23.3392212985117,7.484240264221193,20.844310650459583,-46.48490377044484,12.713165,1.4652519
57.995680385465896,23.403653081931505,6.5741662127771185,42.89133746486049,0.13801168862083013,12.218209,1.3077917
57.93734239461783,23.44411545410952,7.603670503752664,20.469901040502645,-46.67115264615442,20.38631,2.2611485
57.96486380442858,23.58017097963821,7.326865311897123,20.0452507330728,-47.20577088380842,17.595358,3.238186
58.35353809174113,23.403957423598573,7.539436764637113,20.973390183488302,-46.79148690227105,14.073176,2.3251457
58.29021865632223,23.56311313950644,7.784782543947762,19.812853163374655,-47.12040483479255,18.314924,3.5661507
58.55760712308558,23.57924654001935,6.082591574333371,19.541452554692118,-13.75881098482846,20.573816,0.52417374
58.51141173896991,23.583472053671844,7.410325385253006,18.720162968475606,-46.105024423670734,17.145609,3.2016191
58.59373152659763,23.63651277018731,7.4050316715605184,18.36910938785275,-45.979828036328726,16.473394,2.9705973
58.464741821631065,23.625599942354462,6.040484165570636,15.61717963284711,-37.1015351495836,17.165022,3.0633535
58.21587315431726,23.563201391104737,7.859820054121889,20.33574713064993,-47.409338262630484,18.111927,3.5025177
58.09386516372074,23.644663086556115,7.842320091834718,20.351204373725434,-48.34159308538509,13.523306,1.8280773
58.4483083989658,23.741741817375793,7.728498800241649,19.262269659732578,-47.78798858909191,16.219612,2.941144
58.45298861309619,23.76839553624431,6.0748117220829725,21.135391326530858,-90.45316950668122,18.457039,3.1186523
58.450234631246445,23.81918184093902,7.864910535896297,20.06354580525604,-46.88631611568352,18.019203,3.5918941
58.35055879613578,23.799400414244115,7.3122275822989975,20.125369913789854,-44.914801582099315,16.478794,2.9820576
58.24497934067102,25.43848141011749,7.570511532362098,18.051648108880084,-46.658336671843564,17.481783,3.0576267
58.60712724142379,23.749874946731186,6.808411743039332,0.36127690286169245,-5.594989958762056,20.543226,1.5715733
58.61658885428691,23.835174746032443,7.622049546859551,19.62306986735035,-47.43860470284522,12.519773,1.6999273
58.600048205654964,23.866179856011417,7.754253502491794,18.982609004848122,-47.249118191795915,18.064146,3.326889
58.61721631631697,23.943195602541135,7.347398824127069,19.161216207733634,-45.28122285091688,18.008188,3.4443207
58.59024754898163,23.974407049720675,9.045966792097254,51.72223603205874,-25.587383197750473,12.916837,1.7367411
