RA,DE,plx,pmRA,pmDE,Gmag,BP-RP,distance
58.256848955762266,22.97990043814057,7.420786200411975,18.67910400073735,-45.22834943525854,16.564484,3.056285,134.75661109121884
58.48872630466153,23.34510508446438,7.415902960434853,20.241861013349848,-44.2704168471072,13.549343,1.8428898,134.84534591878776
57.83124732910963,23.16358608120615,7.282151258469367,18.816939814241895,-43.442427037819215,16.071117,2.8686714,137.32205834600992
57.81600521946067,23.282072324477088,7.39121408595741,20.266120356445313,-45.198913858633816,14.110739,2.0543022,135.2957698654546
58.35055879613578,23.799400414244115,7.3122275822989975,20.125369913789854,-44.914801582099315,16.478794,2.9820576,136.75723146538002
58.61721631631697,23.943195602541135,7.347398824127069,19.161216207733634,-45.28122285091688,18.008188,3.4443207,136.10258867617796
56.84689444035548,22.244354276021415,7.121282586312011,19.56523367259846,-44.07548166486084,13.896054,1.8874846,140.4241424040838
56.93617517454737,22.212093026243476,7.267899589037527,19.744760772191732,-44.90627737374165,18.159636,3.357586,137.591334022878
56.865598646396684,22.1606151777333,7.322496176654713,19.479130940995113,-43.88244907637228,19.86822,4.0753765,136.56545198182002
56.669225217102046,22.367526920156397,7.389174547498765,19.235697142782712,-44.28196746663052,17.77013,3.4698296,135.3331138101887
57.356540141478256,22.312209187153343,7.124079011263999,19.556734054911658,-44.42785716407235,17.548912,3.2433224,140.36902151406287
57.39781407380614,22.39046720119339,7.399756837891425,19.47132579352298,-45.00153299664306,17.05874,3.0555935,135.1395757870541
57.65595238915255,22.468747646826063,7.127754129770755,19.89987187064179,-44.34454216975364,16.323393,2.9244423,140.29664629188918
57.849313048424804,22.841272958150647,7.430605491985016,19.641777668946855,-44.98903735020462,13.666987,1.83957,134.5785348285069
57.023886074906926,22.635778085249903,7.267997117214958,19.48222424687009,-45.44550891815411,16.372732,2.9875917,137.58948770513445
57.156918510526815,22.769113512032003,7.232192097987376,19.031578474328004,-44.591028325201925,13.846435,1.9363937,138.27066350716638
57.691890731724996,22.93047700918125,7.329901757417433,19.432050778551144,-44.96311213605481,12.54847,1.4772148,136.42747653310064
57.83246207983878,23.067645295503368,7.370749551185829,19.23268388146952,-43.413694043478245,17.615984,3.3113117,135.67141212105312
57.421773552617374,22.944500325032784,7.353422098732257,19.512935354571574,-44.85613445942927,18.479889,3.70117,135.99110544360045
56.27740714247925,24.678409040272616,7.5284014269211195,20.24411977407674,-44.80748682496666,17.622309,3.4046497,132.83032390170627
56.169922338576605,24.818333957946873,7.489501972504944,20.238677643478304,-45.445803609583365,9.715471,0.7056837,133.52022653457414
56.33701983849263,24.921874441485695,7.31021390474316,20.356301638083206,-44.16034359248281,8.900821,0.6205778,136.7949027252349
56.26681313037545,25.257646866907518,7.428143353032573,18.647569844836685,-45.40830146952662,10.546825,0.8806629,134.62314234845044
56.725205994094026,25.24564655686341,7.177210726519302,19.379964752822495,-43.662358221933445,15.038713,2.4484262,139.3298926427043
56.46653993674255,25.16698929532755,7.368127350969552,18.782484712686713,-45.49913875760345,16.831028,3.124382,135.71969543501615
56.412758094613054,25.224208945373555,7.282245692610075,19.832396859021433,-45.07769249739836,14.256176,2.121193,137.32027759167568
56.32088462821245,25.263083122576166,7.324419380236703,19.925733136652973,-43.96283417147319,14.92041,2.6992493,136.5295934170939
56.496515250865976,25.39839015777669,7.412431557949202,20.318909900230626,-45.41323411860892,8.016677,0.27722025,134.9084969192849
55.860998966163535,24.994132717482273,7.523301424204543,19.041444522785408,-44.58735706991489,12.238136,1.3596001,132.92036881344714
55.654025634157705,25.23250873853018,7.335305240582374,19.838197493850103,-44.48416981759517,17.410069,3.217619,136.32697852401935
55.86311858120914,25.387387734138116,7.173660816351542,20.239121616848287,-44.00363001302027,11.151539,1.0633583,139.39884050840737
55.970030289721734,25.491626639175383,7.232947154619978,20.38386716875307,-45.44393680977453,16.485218,2.9181337,138.25622925521571
56.1832111805621,25.4990904084966,7.186533778949462,20.32485977606972,-43.83160913236325,11.862408,1.1800013,139.14914070663164
55.600196939480526,22.420941414601447,7.325781236905765,19.75260126482393,-44.404909682301366,10.207125,0.8412733,136.5042126786707
56.28772677585699,25.546813749362023,7.490897652344597,19.883603965289023,-45.44641569266047,16.726799,3.009122,133.49534947750985
55.51651081923177,22.426713907610658,7.02338554254298,19.35139522291347,-43.95137856363437,11.358484,1.2401686,142.38147599084056
55.43784879484009,22.46704884658764,7.48747040106267,20.484618144590446,-45.33844201798303,17.73309,3.3465729,133.5564545080637
55.61385651221187,22.573392259376448,7.177752139311311,19.000000967207146,-43.149520528650314,15.731763,2.9178953,139.31938308696567
56.125404530638,25.596210762222004,7.110221839905991,20.052721267974036,-43.57713254051983,14.340455,2.1378307,140.642587884884
56.13788197135758,25.752519740211472,7.149068071202813,19.71595980126822,-44.83680822050025,16.459324,2.9976807,139.878371563995
56.8579741062699,25.440566366115203,7.235428938011102,20.062196487855136,-45.204694104718186,16.65519,3.3346682,138.20880677115505
54.911295650757275,23.38883701888097,7.377559616270141,20.477999618780313,-44.508144396680514,16.598715,2.9964857,135.54617678651414
55.2270611799686,22.9069549713295,7.198159429661968,19.80067674453128,-44.30913428211956,17.04338,3.154543,138.92440279653002
54.64378947102655,23.67271376809515,7.228431844899335,20.455009282168664,-45.04122743597192,17.13838,3.0781631,138.34259234326726
54.96121741847009,23.76440270472398,7.109772113525601,20.354035697092193,-43.554027997180306,17.778164,3.3081036,140.65148418718007
55.33071458119611,23.86146815087619,7.411967132291862,20.085951759718974,-43.36242692609376,16.882187,3.1227102,134.91695013639233
55.36208894086606,24.0171827154947,7.331133587575553,20.348207602315583,-45.023526762777635,15.505199,3.0001554,136.40455300047336
54.92806066590466,23.9075504224956,7.278890838079187,20.454982963912418,-45.01606595633935,16.293001,2.9563942,137.38356876689858
56.24330503901932,22.191554815221856,7.114625466024126,19.045109604674884,-44.412360707132194,18.124413,3.4671307,140.5555365880463
54.79117662156335,23.981116109827134,7.639966640057734,20.35983908088497,-43.877610170119,18.634268,3.2543392,130.8906238879131
57.61403231496382,23.379012559358603,7.228956227453397,19.83778070687911,-44.85419874781838,16.541801,3.0028334,138.33255708511575
56.360732948219095,22.525409252257422,7.33043869209861,19.916122118909534,-44.2544686931443,16.099396,2.7872744,136.4174835917921
57.38016945576194,23.688630836824323,7.362058685060756,19.957750625646163,-44.52370465052084,16.796696,3.1152382,135.83157140939682
57.459924115814104,23.705388529695107,7.208992297855638,19.586708265427433,-44.02362241603657,11.35299,1.0198593,138.71564272546894
57.49021652557216,23.724321434845983,7.226296204120492,19.09542860220549,-45.252255916425355,17.699118,3.4090595,138.38347775306968
57.667058127725106,23.932844783221913,7.251408520456074,18.70635797044318,-44.35811453871019,10.161764,0.7804346,137.90424262803847
57.89280600086858,23.797032725739253,7.242062708797047,19.108210218397666,-45.41617175629843,17.061905,3.0967865,138.08220671512336
54.80623332660652,24.46632471871234,7.118104224750291,19.811126884811692,-44.51509163145818,10.22619,0.80078983,140.486844309319
56.41633572294943,22.694265149860293,7.291631614082201,19.830372611939126,-44.158154915313965,7.800061,0.25158405,137.14351642075795
58.138996019792735,23.851738078375988,7.437968020642974,19.552198149833778,-44.83384243068203,16.476507,2.9268503,134.4453212523432
56.66006365313638,22.919584206915975,7.1525685788631295,19.92415292387568,-43.54934665259477,9.306278,0.6573868,139.80991429500503
56.645075788192386,22.935281042623288,7.2607543201303235,19.45079799157423,-45.27898452661234,14.011793,1.9754066,137.72673690769514
57.85177827355964,24.087172363395553,7.47403630098569,19.14041254467395,-45.078411978289786,12.779283,1.4697065,133.7965136546257
56.10669430950938,22.668738732908064,7.292826529552445,19.38724661169848,-43.841254843624036,18.554502,3.5606956,137.1210457218114
55.46464413369849,24.32411786029426,7.161844786532234,19.821034019449485,-43.578078022164796,18.960083,3.6220531,139.6288288571247
55.556263419518594,24.31367196396033,7.2306568674940594,18.714216042268447,-45.28656130692565,17.849161,3.4577827,138.30002146769988
58.018711167354724,24.24417935611303,7.514225040745198,19.02891889259654,-44.582926550567805,16.873875,2.9686623,133.08092246074497
55.513837871122,24.536880391599198,7.219944321360041,19.159797994693193,-44.290963819389965,15.252396,2.5035162,138.50522323856748
